Row_ID;Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Country;City;State;Postal_Code;Region;Product_ID; Sales ;Quantity;Discount;Profit
3846;CA-2014-101931;28/10/2014;31/10/2014;First Class;TS-21370;United States;Los Angeles;California;90049;West;FUR-BO-10001337; 616,998 ;6;0,15;-36,294
5238;CA-2014-166744;20/09/2014;24/09/2014;Standard Class;DN-13690;United States;Columbia;Maryland;21044;East;FUR-BO-10001337; 362,940 ;3;0;36,294
6139;CA-2014-131247;30/03/2014;04/04/2014;Standard Class;GA-14725;United States;San Francisco;California;94110;West;FUR-BO-10001337; 205,666 ;2;0,15;-12,098
7140;CA-2015-163965;20/11/2015;27/11/2015;Standard Class;SS-20875;United States;Miami;Florida;33180;South;FUR-BO-10001337; 290,352 ;3;0,2;-36,294
7912;CA-2016-149762;03/12/2016;07/12/2016;Standard Class;RD-19720;United States;Morgan Hill;California;95037;West;FUR-BO-10001337; 205,666 ;2;0,15;-12,098
9201;CA-2016-152688;17/10/2016;20/10/2016;First Class;NR-18550;United States;Perth Amboy;New Jersey;8861;East;FUR-BO-10001337; 120,980 ;1;0;12,098
842;CA-2015-100454;20/11/2015;25/11/2015;Standard Class;BM-11650;United States;New York City;New York;10035;East;FUR-BO-10001519; 186,048 ;4;0,2;9,302
4224;CA-2017-134565;11/06/2017;13/06/2017;Second Class;TB-21400;United States;Seattle;Washington;98103;West;FUR-BO-10001519; 174,420 ;3;0;41,861
5930;US-2017-169551;07/07/2017;09/07/2017;First Class;RL-19615;United States;Philadelphia;Pennsylvania;19120;East;FUR-BO-10001519; 87,210 ;3;0,5;-45,349
7014;CA-2017-141201;09/12/2017;11/12/2017;Second Class;DB-12910;United States;Salinas;California;93905;West;FUR-BO-10001519; 148,257 ;3;0,15;15,698
7460;CA-2015-137974;16/04/2015;18/04/2015;First Class;LL-16840;United States;Waynesboro;Virginia;22980;South;FUR-BO-10001519; 523,260 ;9;0;125,582
7968;CA-2016-157707;10/10/2016;12/10/2016;First Class;CC-12610;United States;Denver;Colorado;80219;West;FUR-BO-10001567; 90,882 ;3;0,7;-190,852
473;CA-2014-144666;09/11/2014;11/11/2014;Second Class;JP-15520;United States;San Francisco;California;94110;West;FUR-BO-10001601; 222,666 ;2;0,15;10,478
4670;US-2017-133200;06/05/2017;11/05/2017;Standard Class;DB-13555;United States;Fort Worth;Texas;76106;Central;FUR-BO-10001601; 623,465 ;7;0,32;-119,192
8106;CA-2017-159149;17/02/2017;19/02/2017;First Class;CR-12820;United States;Houston;Texas;77041;Central;FUR-BO-10001601; 89,066 ;1;0,32;-17,027
3508;CA-2014-166863;20/06/2014;24/06/2014;Standard Class;SC-20020;United States;Plano;Texas;75023;Central;FUR-BO-10001608; 193,066 ;4;0,32;-19,874
6151;US-2016-106600;08/04/2016;11/04/2016;First Class;RM-19375;United States;Columbus;Georgia;31907;South;FUR-BO-10001608; 354,900 ;5;0;88,725
6622;US-2017-167402;13/01/2017;18/01/2017;Second Class;CP-12085;United States;Springfield;Missouri;65807;Central;FUR-BO-10001608; 212,940 ;3;0;53,235
6926;CA-2015-137925;30/11/2015;04/12/2015;Standard Class;JL-15235;United States;New York City;New York;10035;East;FUR-BO-10001608; 681,408 ;12;0,2;42,588
7867;CA-2015-143364;14/07/2015;19/07/2015;Second Class;TG-21310;United States;Mesa;Arizona;85204;West;FUR-BO-10001608; 127,764 ;6;0,7;-191,646
737;CA-2017-131954;21/01/2017;25/01/2017;Standard Class;DS-13030;United States;Seattle;Washington;98115;West;FUR-BO-10001619; 84,980 ;1;0;18,696
9770;CA-2016-123533;24/11/2016;30/11/2016;Standard Class;SC-20050;United States;Hialeah;Florida;33012;South;FUR-BO-10001619; 339,920 ;5;0,2;8,498
5400;CA-2016-117681;09/04/2016;14/04/2016;Standard Class;HF-14995;United States;Los Angeles;California;90004;West;FUR-BO-10001798; 556,665 ;5;0,15;6,549
8635;CA-2017-159793;25/08/2017;29/08/2017;Standard Class;SV-20365;United States;Philadelphia;Pennsylvania;19140;East;FUR-BO-10001798; 130,980 ;2;0,5;-89,066
9335;CA-2017-110198;01/05/2017;02/05/2017;First Class;AG-10900;United States;Coral Springs;Florida;33065;South;FUR-BO-10001798; 314,352 ;3;0,2;-15,718
1;CA-2016-152156;08/11/2016;11/11/2016;Second Class;CG-12520;United States;Henderson;Kentucky;42420;Southn;FUR-BO-10001798; 261,960 ;2;0;41,914
1043;CA-2016-102981;06/09/2016;09/09/2016;Second Class;MO-17500;United States;New York City;New York;10035;East;FUR-BO-10001811; 722,352 ;3;0,2;90,294
3176;US-2017-132059;23/09/2017;29/09/2017;Standard Class;AP-10915;United States;Fort Collins;Colorado;80525;West;FUR-BO-10001811; 180,588 ;2;0,7;-240,784
4454;CA-2016-147137;04/07/2016;06/07/2016;First Class;AA-10645;United States;San Francisco;California;94109;West;FUR-BO-10001811; 1.279,165 ;5;0,15;225,735
5973;CA-2017-115105;06/02/2017;11/02/2017;Standard Class;BD-11770;United States;New York City;New York;10024;East;FUR-BO-10001811; 240,784 ;1;0,2;30,098
8782;CA-2015-133585;01/03/2015;04/03/2015;First Class;CM-12715;United States;Houston;Texas;77070;Central;FUR-BO-10001811; 1.227,998 ;6;0,32;-36,118
9513;CA-2017-142461;30/05/2017;03/06/2017;Second Class;KT-16480;United States;Dallas;Texas;75217;Central;FUR-BO-10001811; 204,666 ;1;0,32;-6,02
9692;CA-2015-130183;13/11/2015;17/11/2015;Standard Class;PO-18850;United States;Houston;Texas;77041;Central;FUR-BO-10001811; 613,999 ;3;0,32;-18,059
9788;CA-2017-144491;27/03/2017;01/04/2017;Standard Class;CJ-12010;United States;Houston;Texas;77070;Central;FUR-BO-10001811; 1.023,332 ;5;0,32;-30,098
1861;US-2017-121251;26/03/2017;27/03/2017;First Class;GM-14440;United States;New York City;New York;10009;East;FUR-BO-10001918; 257,568 ;2;0,2;-28,976
7271;CA-2016-123337;16/09/2016;22/09/2016;Standard Class;KD-16495;United States;San Jose;California;95123;West;FUR-BO-10001918; 273,666 ;2;0,15;-12,878
9093;CA-2015-162950;28/06/2015;03/07/2015;Second Class;DW-13585;United States;Troy;Ohio;45373;East;FUR-BO-10001918; 482,940 ;6;0,5;-376,693
413;CA-2017-117457;08/12/2017;12/12/2017;Standard Class;KH-16510;United States;San Francisco;California;94110;West;FUR-BO-10001972; 1.336,829 ;13;0,15;31,455
2123;CA-2017-167381;22/09/2017;24/09/2017;Second Class;EH-14005;United States;Lansing;Michigan;48911;Central;FUR-BO-10001972; 241,960 ;2;0;41,133
5466;CA-2014-146591;19/01/2014;20/01/2014;First Class;TS-21340;United States;Scottsdale;Arizona;85254;West;FUR-BO-10001972; 181,470 ;5;0,7;-320,597
5785;CA-2017-141117;02/10/2017;08/10/2017;Standard Class;JK-16090;United States;Springfield;Oregon;97477;West;FUR-BO-10001972; 217,764 ;6;0,7;-384,716
6122;CA-2017-143378;19/09/2017;25/09/2017;Standard Class;JR-16210;United States;Springfield;Oregon;97477;West;FUR-BO-10001972; 72,588 ;2;0,7;-128,239
7248;US-2014-127978;03/03/2014;08/03/2014;Standard Class;JS-15595;United States;Columbus;Ohio;43229;East;FUR-BO-10001972; 302,450 ;5;0,5;-199,617
8470;US-2017-132031;23/04/2017;27/04/2017;Standard Class;PN-18775;United States;Clarksville;Tennessee;37042;South;FUR-BO-10001972; 387,136 ;4;0,2;-14,518
2226;CA-2016-106383;19/03/2016;21/03/2016;Second Class;BT-11440;United States;Littleton;Colorado;80122;West;FUR-BO-10002202; 72,294 ;1;0,7;-98,802
3024;CA-2017-124674;17/11/2017;23/11/2017;Standard Class;JB-16000;United States;Brownsville;Texas;78521;Central;FUR-BO-10002202; 327,733 ;2;0,32;-14,459
1115;CA-2017-140585;18/12/2017;23/12/2017;Second Class;RA-19915;United States;Encinitas;California;92024;West;FUR-BO-10002206; 119,833 ;1;0,15;-12,688
2116;CA-2015-164882;31/10/2015;31/10/2015;Same Day;SG-20080;United States;Redlands;California;92374;West;FUR-BO-10002213; 425,833 ;1;0,15;20,039
2472;US-2016-135923;22/01/2016;28/01/2016;Standard Class;CM-11935;United States;Fayetteville;North Carolina;28314;South;FUR-BO-10002213; 451,136 ;4;0,2;-67,67
2809;CA-2015-148635;25/07/2015;27/07/2015;Second Class;MH-18025;United States;Seattle;Washington;98115;West;FUR-BO-10002213; 704,900 ;5;0;56,392
5080;US-2017-133312;25/11/2017;29/11/2017;Standard Class;BD-11500;United States;San Francisco;California;94122;West;FUR-BO-10002213; 359,499 ;3;0,15;-29,606
5919;US-2015-126977;17/09/2015;23/09/2015;Standard Class;PF-19120;United States;New York City;New York;10035;East;FUR-BO-10002213; 2.003,920 ;5;0,2;-25,049
6536;CA-2014-128209;17/11/2014;22/11/2014;Standard Class;GT-14710;United States;Buffalo;New York;14215;East;FUR-BO-10002213; 4.007,840 ;10;0,2;-50,098
8713;US-2015-145422;03/12/2015;07/12/2015;Standard Class;PW-19240;United States;San Francisco;California;94110;West;FUR-BO-10002213; 359,499 ;3;0,15;-29,606
9396;CA-2014-125997;20/09/2014;23/09/2014;First Class;MW-18220;United States;New York City;New York;10011;East;FUR-BO-10002213; 801,568 ;2;0,2;-10,02
9584;CA-2017-116127;25/06/2017;27/06/2017;Second Class;SB-20185;United States;New York City;New York;10024;East;FUR-BO-10002213; 400,784 ;1;0,2;-5,01
9650;CA-2016-107104;26/11/2016;30/11/2016;Standard Class;MS-17365;United States;Los Angeles;California;90045;West;FUR-BO-10002213; 3.406,664 ;8;0,15;160,314
355;CA-2016-138520;08/04/2016;13/04/2016;Standard Class;JL-15505;United States;New York City;New York;10035;East;FUR-BO-10002268; 388,704 ;6;0,2;-4,859
3099;CA-2017-135692;27/04/2017;01/05/2017;Standard Class;CV-12805;United States;Fort Worth;Texas;76106;Central;FUR-BO-10002268; 220,266 ;4;0,32;-42,11
7995;US-2015-165743;20/11/2015;23/11/2015;Second Class;MM-18055;United States;Aurora;Colorado;80013;West;FUR-BO-10002268; 145,764 ;6;0,7;-247,799
39;CA-2015-117415;27/12/2015;31/12/2015;Standard Class;SN-20710;United States;Houston;Texas;77041;Central;FUR-BO-10002545; 532,399 ;3;0,32;-46,976
193;CA-2015-102281;12/10/2015;14/10/2015;First Class;MP-17470;United States;New York City;New York;10035;East;FUR-BO-10002545; 626,352 ;3;0,2;46,976
370;CA-2016-155516;21/10/2016;21/10/2016;Same Day;MK-17905;United States;Manchester;Connecticut;6040;East;FUR-BO-10002545; 1.043,920 ;4;0;271,419
1540;CA-2017-121888;15/09/2017;17/09/2017;Second Class;CL-11890;United States;Everett;Massachusetts;2149;East;FUR-BO-10002545; 782,940 ;3;0;203,564
2354;CA-2015-111514;31/08/2015;02/09/2015;First Class;SC-20260;United States;San Francisco;California;94122;West;FUR-BO-10002545; 1.552,831 ;7;0,15;200,955
4386;US-2015-122784;20/07/2015;27/07/2015;Standard Class;RA-19915;United States;Highland Park;Illinois;60035;Central;FUR-BO-10002545; 913,430 ;5;0,3;-52,196
5956;CA-2014-155796;11/11/2014;15/11/2014;Second Class;TS-21430;United States;Reading;Pennsylvania;19601;East;FUR-BO-10002545; 521,960 ;4;0,5;-250,541
6851;US-2016-100461;08/01/2016;12/01/2016;Standard Class;JO-15145;United States;Franklin;Wisconsin;53132;Central;FUR-BO-10002545; 1.565,880 ;6;0;407,129
3369;CA-2015-115511;21/11/2015;25/11/2015;Standard Class;NW-18400;United States;Las Vegas;Nevada;89115;West;FUR-BO-10002598; 141,960 ;2;0;41,168
4942;CA-2015-156482;06/02/2015;13/02/2015;Standard Class;IL-15100;United States;Wilmington;Delaware;19805;East;FUR-BO-10002598; 283,920 ;4;0;82,337
5733;CA-2017-143574;29/06/2017;02/07/2017;First Class;DR-12880;United States;Milford;Connecticut;6460;East;FUR-BO-10002598; 638,820 ;9;0;185,258
6371;CA-2016-113425;21/11/2016;21/11/2016;Same Day;JK-16120;United States;New York City;New York;10009;East;FUR-BO-10002598; 113,568 ;2;0,2;12,776
7123;CA-2017-166926;01/12/2017;08/12/2017;Standard Class;SO-20335;United States;Seattle;Washington;98105;West;FUR-BO-10002598; 141,960 ;2;0;41,168
190;CA-2015-102281;12/10/2015;14/10/2015;First Class;MP-17470;United States;New York City;New York;10035;East;FUR-BO-10002613; 899,136 ;4;0,2;112,392
1370;US-2015-103471;24/12/2015;28/12/2015;Standard Class;JR-15670;United States;Colorado Springs;Colorado;80906;West;FUR-BO-10002613; 590,058 ;7;0,7;-786,744
1546;CA-2014-150245;31/12/2014;04/01/2015;Second Class;PC-18745;United States;Watertown;New York;13601;East;FUR-BO-10002613; 1.573,488 ;7;0,2;196,686
5652;CA-2017-142342;17/07/2017;19/07/2017;Second Class;AJ-10795;United States;Apple Valley;California;92307;West;FUR-BO-10002613; 1.194,165 ;5;0,15;210,735
7337;CA-2015-113152;25/12/2015;30/12/2015;Standard Class;JK-15625;United States;New York City;New York;10024;East;FUR-BO-10002613; 449,568 ;2;0,2;56,196
9538;CA-2016-148747;25/09/2016;27/09/2016;First Class;AS-10045;United States;San Francisco;California;94110;West;FUR-BO-10002613; 477,666 ;2;0,15;84,294
469;CA-2017-154907;31/03/2017;04/04/2017;Standard Class;DS-13180;United States;Amarillo;Texas;79109;Central;FUR-BO-10002824; 205,333 ;2;0,32;-36,235
2416;CA-2015-146087;06/07/2015;11/07/2015;Standard Class;PP-18955;United States;Holyoke;Massachusetts;1040;East;FUR-BO-10002824; 301,960 ;2;0;60,392
6482;CA-2017-140872;03/06/2017;10/06/2017;Standard Class;NR-18550;United States;Pembroke Pines;Florida;33024;South;FUR-BO-10002824; 241,568 ;2;0,2;0
4185;CA-2016-143749;05/12/2016;07/12/2016;First Class;AG-10300;United States;Franklin;Massachusetts;2038;East;FUR-BO-10002853; 81,940 ;1;0;20,485
4685;CA-2016-159912;29/08/2016;03/09/2016;Standard Class;GB-14530;United States;Philadelphia;Pennsylvania;19120;East;FUR-BO-10002853; 163,880 ;4;0,5;-81,94
8729;CA-2015-103870;27/12/2015;31/12/2015;Standard Class;SP-20860;United States;Murfreesboro;Tennessee;37130;South;FUR-BO-10002853; 131,104 ;2;0,2;8,194
9281;CA-2016-166772;20/09/2016;24/09/2016;Standard Class;HJ-14875;United States;Seattle;Washington;98105;West;FUR-BO-10002853; 163,880 ;2;0;40,97
3352;US-2014-134733;23/09/2014;28/09/2014;Standard Class;BM-11650;United States;San Diego;California;92037;West;FUR-BO-10002916; 435,999 ;3;0,15;20,518
3995;CA-2015-105627;08/03/2015;12/03/2015;Standard Class;DK-12895;United States;Kenosha;Wisconsin;53142;Central;FUR-BO-10002916; 512,940 ;3;0;97,459
5162;CA-2014-111192;30/07/2014;05/08/2014;Standard Class;TS-21430;United States;Seattle;Washington;98103;West;FUR-BO-10002916; 1.367,840 ;8;0;259,89
7672;CA-2015-130974;27/11/2015;29/11/2015;Second Class;MA-17560;United States;Everett;Massachusetts;2149;East;FUR-BO-10002916; 170,980 ;1;0;32,486
2008;CA-2017-165386;03/08/2017;04/08/2017;First Class;CM-12190;United States;Chicago;Illinois;60623;Central;FUR-BO-10003034; 183,372 ;2;0,3;-36,674
3821;CA-2017-141873;09/10/2017;14/10/2017;Standard Class;HG-14845;United States;New York City;New York;10024;East;FUR-BO-10003034; 314,352 ;3;0,2;-15,718
4024;CA-2017-130764;27/10/2017;28/10/2017;First Class;JO-15145;United States;San Francisco;California;94110;West;FUR-BO-10003034; 556,665 ;5;0,15;6,549
4939;CA-2014-157147;13/01/2014;18/01/2014;Standard Class;BD-11605;United States;San Francisco;California;94109;West;FUR-BO-10003034; 333,999 ;3;0,15;3,929
6946;CA-2016-106243;30/09/2016;04/10/2016;Standard Class;GM-14680;United States;New York City;New York;10011;East;FUR-BO-10003034; 523,920 ;5;0,2;-26,196
1763;CA-2015-130785;05/09/2015;09/09/2015;Standard Class;AG-10900;United States;San Diego;California;92105;West;FUR-BO-10003159; 293,199 ;3;0,15;-20,696
2778;CA-2015-138534;17/07/2015;19/07/2015;Second Class;JM-15535;United States;Bakersfield;California;93309;West;FUR-BO-10003159; 195,466 ;2;0,15;-13,798
4072;CA-2016-145303;28/08/2016;31/08/2016;First Class;TP-21415;United States;Dallas;Texas;75081;Central;FUR-BO-10003159; 156,373 ;2;0,32;-52,891
4390;CA-2017-111556;20/11/2017;22/11/2017;First Class;CD-11920;United States;New York City;New York;10035;East;FUR-BO-10003159; 183,968 ;2;0,2;-25,296
4728;CA-2014-119151;25/11/2014;29/11/2014;Second Class;MP-18175;United States;New York City;New York;10009;East;FUR-BO-10003159; 275,952 ;3;0,2;-37,943
5731;CA-2017-117324;08/12/2017;13/12/2017;Standard Class;JP-15520;United States;Madison;Wisconsin;53711;Central;FUR-BO-10003159; 459,920 ;4;0;41,393
6779;US-2016-147711;03/09/2016;08/09/2016;Second Class;HF-14995;United States;Baltimore;Maryland;21215;East;FUR-BO-10003159; 344,940 ;3;0;31,045
709;CA-2014-112158;02/12/2014;04/12/2014;First Class;DP-13165;United States;New York City;New York;10035;East;FUR-BO-10003272; 883,920 ;5;0,2;-110,49
1876;US-2016-112977;10/03/2016;16/03/2016;Standard Class;CJ-12010;United States;Long Beach;New York;11561;East;FUR-BO-10003272; 176,784 ;1;0,2;-22,098
2826;US-2014-112914;25/09/2014;30/09/2014;Standard Class;MT-18070;United States;Houston;Texas;77041;Central;FUR-BO-10003272; 300,533 ;2;0,32;-97,231
5056;CA-2015-141243;03/01/2015;08/01/2015;Second Class;AH-10465;United States;Dallas;Texas;75217;Central;FUR-BO-10003272; 1.352,398 ;9;0,32;-437,54
5228;CA-2016-119865;21/06/2016;26/06/2016;Standard Class;AS-10090;United States;New York City;New York;10011;East;FUR-BO-10003272; 353,568 ;2;0,2;-44,196
8610;CA-2014-151946;04/06/2014;09/06/2014;Standard Class;BT-11440;United States;New York City;New York;10035;East;FUR-BO-10003272; 353,568 ;2;0,2;-44,196
2655;CA-2017-112515;17/09/2017;21/09/2017;Second Class;AS-10225;United States;Provo;Utah;84604;West;FUR-BO-10003404; 1.292,940 ;3;0;77,576
8425;CA-2017-150091;12/10/2017;16/10/2017;Standard Class;NP-18670;United States;Lakewood;New Jersey;8701;East;FUR-BO-10003404; 2.154,900 ;5;0;129,294
1303;CA-2015-115847;19/09/2015;24/09/2015;Second Class;TC-21535;United States;Arlington;Virginia;22204;South;FUR-BO-10003433; 61,960 ;2;0;4,337
5361;US-2017-126060;14/04/2017;18/04/2017;Standard Class;DW-13585;United States;Fayetteville;North Carolina;28314;South;FUR-BO-10003433; 198,272 ;8;0,2;-32,219
6475;CA-2014-149524;14/01/2014;15/01/2014;First Class;BS-11590;United States;Philadelphia;Pennsylvania;19140;East;FUR-BO-10003433; 61,960 ;4;0,5;-53,286
907;CA-2017-143259;30/12/2017;03/01/2018;Standard Class;PO-18865;United States;New York City;New York;10009;East;FUR-BO-10003441; 323,136 ;4;0,2;12,118
2306;CA-2016-115574;23/12/2016;24/12/2016;First Class;BP-11185;United States;Chicago;Illinois;60623;Central;FUR-BO-10003441; 141,372 ;2;0,3;-14,137
3101;CA-2017-131233;14/04/2017;19/04/2017;Standard Class;CS-12355;United States;New York City;New York;10024;East;FUR-BO-10003441; 242,352 ;3;0,2;9,088
3986;CA-2016-108735;17/04/2016;21/04/2016;Standard Class;JM-15535;United States;Lakewood;California;90712;West;FUR-BO-10003441; 257,499 ;3;0,15;24,235
5806;CA-2017-113873;13/11/2017;19/11/2017;Standard Class;KE-16420;United States;Dallas;Texas;75220;Central;FUR-BO-10003441; 205,999 ;3;0,32;-27,265
6588;CA-2017-104731;21/07/2017;27/07/2017;Standard Class;AM-10705;United States;Salem;Virginia;24153;South;FUR-BO-10003441; 302,940 ;3;0;69,676
2544;US-2016-114174;08/09/2016;14/09/2016;Standard Class;AP-10720;United States;Malden;Massachusetts;2148;East;FUR-BO-10003450; 173,940 ;3;0;13,915
4786;CA-2015-104346;11/12/2015;16/12/2015;Standard Class;IM-15070;United States;Colorado Springs;Colorado;80906;West;FUR-BO-10003450; 69,576 ;4;0,7;-143,79
9162;CA-2016-160108;08/12/2016;12/12/2016;Standard Class;AG-10900;United States;Eau Claire;Wisconsin;54703;Central;FUR-BO-10003450; 405,860 ;7;0;32,469
4424;CA-2017-159464;18/05/2017;19/05/2017;First Class;TB-21355;United States;Sandy Springs;Georgia;30328;South;FUR-BO-10003546; 302,940 ;3;0;75,735
5990;CA-2016-163776;19/07/2016;25/07/2016;Standard Class;JS-16030;United States;Hattiesburg;Mississippi;39401;South;FUR-BO-10003546; 504,900 ;5;0;126,225
7301;CA-2014-163468;18/11/2014;21/11/2014;First Class;JK-15730;United States;Des Plaines;Illinois;60016;Central;FUR-BO-10003546; 424,116 ;6;0,3;-30,294
7541;US-2017-112347;02/12/2017;06/12/2017;Standard Class;BS-11380;United States;Denver;Colorado;80219;West;FUR-BO-10003546; 242,352 ;8;0,7;-363,528
3103;CA-2017-119578;22/12/2017;27/12/2017;Second Class;JG-15310;United States;Providence;Rhode Island;2908;East;FUR-BO-10003660; 220,980 ;1;0;50,825
6226;CA-2015-133445;05/10/2015;09/10/2015;Standard Class;JF-15490;United States;Portland;Oregon;97206;West;FUR-BO-10003660; 66,294 ;1;0,7;-103,861
7640;CA-2017-104885;02/03/2017;08/03/2017;Standard Class;DB-13555;United States;Newark;Delaware;19711;East;FUR-BO-10003660; 441,960 ;2;0;101,651
4634;CA-2015-130456;21/08/2015;26/08/2015;Standard Class;DS-13180;United States;San Francisco;California;94122;West;FUR-BO-10003893; 586,398 ;6;0,15;34,494
9485;CA-2016-164770;02/12/2016;04/12/2016;Second Class;MY-18295;United States;Houston;Texas;77036;Central;FUR-BO-10003893; 781,864 ;10;0,32;-137,976
4218;CA-2017-149881;01/04/2017;03/04/2017;First Class;NC-18535;United States;San Francisco;California;94110;West;FUR-BO-10003894; 482,664 ;8;0,15;85,176
7563;US-2016-104815;03/09/2016;07/09/2016;Standard Class;RB-19570;United States;Chicago;Illinois;60610;Central;FUR-BO-10003894; 198,744 ;4;0,3;0
8371;CA-2016-163972;17/10/2016;21/10/2016;Standard Class;MG-17890;United States;Fresno;California;93727;West;FUR-BO-10003894; 120,666 ;2;0,15;21,294
1715;CA-2017-104003;07/10/2017;13/10/2017;Standard Class;DC-13285;United States;San Francisco;California;94110;West;FUR-BO-10003965; 307,666 ;2;0,15;-14,478
4285;CA-2015-105690;21/11/2015;26/11/2015;Second Class;CA-11965;United States;Port Arthur;Texas;77642;Central;FUR-BO-10003965; 246,133 ;2;0,32;-76,012
8661;CA-2017-124765;25/11/2017;30/11/2017;Standard Class;HZ-14950;United States;Fort Lauderdale;Florida;33311;South;FUR-BO-10003965; 723,920 ;5;0,2;-81,441
9545;CA-2015-135251;06/08/2015;10/08/2015;Standard Class;RP-19270;United States;Houston;Texas;77095;Central;FUR-BO-10003965; 369,199 ;3;0,32;-114,017
1724;US-2015-123218;20/12/2015;25/12/2015;Standard Class;KD-16345;United States;Chicago;Illinois;60623;Central;FUR-BO-10003966; 359,058 ;3;0,3;-71,812
3366;CA-2014-115161;31/01/2014;02/02/2014;First Class;LC-17050;United States;Mission Viejo;California;92691;West;FUR-BO-10003966; 290,666 ;2;0,15;3,42
